,researcher,skill_categories
133,"Regan, Elizabeth A.","['J.2', 'I.4', 'H.2', 'F.1', 'F.1', 'E.3', 'B.7', 'I.4', 'I.4', 'D.4', 'D.4', 'I.4', 'F.3', 'I.4', 'H.2', 'B.3', 'F.2', 'I.2', 'G.1', 'I.1', 'I.5', 'I.4', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'I.1', 'I.5', 'K.7', 'C.1', 'G.1', 'H.2', 'C.2', 'C.5', 'G.2', 'H.3', 'K.6', 'E.5', 'E.3', 'H.1', 'B.4', 'C.2', 'H.5', 'H.2', 'J.3', 'C.2', 'D.2', 'I.4', 'J.3', 'C.5', 'J.3', 'K.6', 'C.2', 'J.2', 'D.2', 'C.5', 'H.5', 'D.2', 'G.1', 'I.4', 'B.2', 'B.4', 'B.3', 'K.4', 'K.5', 'H.5', 'C.2', 'I.4', 'D.2', 'I.5', 'C.1', 'H.5', 'H.2', 'C.2', 'I.4', 'D.2', 'D.2', 'K.4', 'K.5', 'B.5', 'C.2', 'G.1', 'H.3', 'H.5', 'H.5', 'K.7', 'D.2', 'H.5', 'C.2', 'H.5', 'D.2', 'J.2', 'J.5', 'C.1', 'I.4', 'B.2', 'B.4', 'B.3', 'I.2', 'I.4', 'J.2', 'H', 'C.1', 'I.2', 'J.3', 'C.5', 'B.7', 'K.4', 'D.2', 'C.5', 'H.5']"
134,"Reifsnider, Kenneth ","['E.3', 'K.6', 'D.4', 'K.6', 'E', 'I.5', 'D.2', 'K.6', 'F.1', 'E', 'G.1', 'G.1', 'D.4', 'D.2', 'E.1', 'D.2', 'D.2', 'G.1', 'D.2', 'K.6', 'B.6', 'H.2', 'C.2', 'C.2', 'E.3', 'D.4', 'I.2']"
135,"Rekleitis, Ioannis","['I.2', 'D.2', 'J.1', 'D.2', 'I.2']"
136,"Reynolds, Tony ","['E.3', 'I.4', 'F.2', 'I.4', 'G.1', 'I.3', 'G.1', 'I.3', 'E.3', 'G.3', 'G.1', 'G.3', 'E.1', 'C.5', 'B.7']"
137,"Rhodes, Curtis ","['E.3', 'F.4', 'E.3', 'C.2', 'C.2', 'F.4', 'J.2', 'J.6', 'D.2', 'E.3']"
138,"Ritter, James A.","['B.3', 'G.1', 'B.3', 'E.3', 'C.5', 'B.7', 'J.2']"
139,"Rizos, Dimitris","['B.3', 'I.5', 'C.1', 'C.1', 'I.4', 'J.5', 'J.5', 'I.5', 'I.2', 'B.3', 'I.4', 'G.1', 'K.6', 'K.4', 'K.7', 'C.1', 'C.1', 'F.3', 'F.1', 'C.0', 'C.2', 'I.3', 'I.2', 'J.7', 'J.1', 'C.0', 'E.3', 'I.2', 'G.1', 'C.1', 'F.4', 'D.3', 'I.2', 'D.2', 'K.6', 'F.4', 'D.3', 'I.1', 'B.3', 'C.2', 'G.1', 'I.4', 'F.4', 'I.1', 'F.4', 'G.1', 'E.3', 'H.5', 'B.2', 'G.1', 'C.0', 'I.5', 'J.2', 'I.2', 'J.2', 'F.2', 'I.2', 'K.4', 'K.4', 'F.2', 'F.2', 'I.2', 'J.7', 'J.1', 'C.2', 'K.4', 'K.4', 'K.4', 'K.7', 'C.2', 'B.1', 'B.5', 'B.7', 'B.6', 'I.2', 'B.3', 'C.2', 'F.3', 'D.2', 'D.2']"
140,"Roberts, Elwyn","['G.1', 'D.2', 'J.1', 'J.1', 'D.3', 'G.1', 'E.3', 'D.2', 'E.3', 'I.2']"
141,"Roberts, Kenneth L","['D.2', 'D.2', 'I.2', 'H.5', 'J.6']"
142,"Rocheleau, David ","['D.2', 'D.4', 'I.4', 'D.2', 'H.2', 'K.6', 'I.2', 'I.5', 'C.1', 'D.2', 'I.2', 'K.6', 'D.2', 'F.1', 'K.6', 'G.1', 'F.3', 'I.4', 'C.2', 'I.1', 'I.5', 'C.2', 'I.1', 'I.5', 'D.2', 'D.3', 'B.4', 'E.3', 'B.1', 'B.5', 'B.7', 'B.6', 'I.2', 'B.1', 'B.5', 'B.7', 'B.6', 'B.6', 'H.1', 'J.6', 'D.2', 'H.5', 'D.4', 'I.3', 'B.3', 'B.4', 'B.1', 'B.5', 'B.7', 'B.6', 'D.3', 'C.2', 'C.2', 'I.2', 'I.5', 'D.2', 'K.6', 'C.5', 'K.6', 'B.m', 'D.2', 'C.3', 'H.5', 'J.2', 'D.4', 'I.2', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'I.1', 'I.5', 'C.2', 'C.2', 'I.4', 'I.2', 'B.2', 'B.3', 'B.6', 'K.6', 'J.5', 'J.3', 'C.5', 'B.3', 'D.3', 'G.1', 'B.7', 'D.3', 'B.4', 'E.3', 'I.2', 'I.1', 'H.3', 'H.5', 'K.6', 'D.2', 'H.5', 'K.4', 'I.2', 'E.2', 'I.2', 'C.5', 'D.2', 'I.2', 'J.2', 'C.5', 'D.4']"
143,"Rose, John R. ","['C.0', 'I.4', 'H.5', 'I.5', 'C.1', 'F.4', 'D.3', 'H.5', 'D.3', 'G.1', 'H.5', 'C.2', 'A.0', 'C.2', 'K.1', 'B.2', 'B.4', 'B.3', 'H.3', 'H.5', 'H.3', 'J.7', 'C.1', 'K.4', 'H.3', 'B.4', 'H.2', 'F.4', 'D.2', 'H.5', 'F.4', 'E', 'F.2', 'G.1', 'H.5', 'H.2', 'F.1', 'H.3', 'H.2', 'D.4', 'J.1', 'B.7', 'F.4', 'K.6', 'I.2', 'C.2', 'H.5', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'B.4', 'H.2', 'D.4', 'K.6', 'H.3', 'F.4', 'I.2', 'J.1', 'C.2', 'H.2', 'J.2', 'H.3', 'H.5', 'E.3', 'H.5', 'D.2', 'H.5', 'B.5', 'E', 'D.3', 'D.3', 'H.5', 'J.5']"
144,"Sabalowsky, Andrew","['C.5', 'B.7', 'C.5', 'B.7', 'D.2', 'A.0', 'C.2', 'K.6', 'I.4', 'D.2', 'D.4', 'G.2', 'A.0', 'I.4', 'F.3', 'C.5', 'B.7', 'K.6', 'I.2', 'D.2', 'G.3', 'H.5', 'G.3', 'E.3', 'I.2', 'H.5', 'I.2', 'I.3', 'K.4', 'E.3', 'F.3', 'D.2', 'B.2', 'B.4', 'B.3', 'I.4', 'C.5', 'B.7', 'G.1', 'D.2', 'K.6', 'I.2']"
145,"Sadati, Monirosadat (Sanaz)","['I.6', 'G.1', 'G.3', 'C.2', 'D.2', 'H.5', 'C.5', 'B.7', 'G.3', 'F.3', 'E.3', 'B', 'B.1', 'B.5', 'B.7', 'B.6', 'H.5', 'D.2', 'K.3', 'K.3', 'B.4', 'I.3', 'K.8', 'B.5', 'C.2', 'C.2', 'G.1', 'E.3', 'I.4', 'I.2', 'J.1', 'H.3', 'I.4', 'I.6', 'G.1', 'B.4', 'G.1', 'H.5', 'H.2', 'H.5', 'H.3', 'J.2', 'G.3', 'D.2', 'I.2', 'G.1', 'H.5', 'D.2', 'I.2', 'I.4', 'I.2', 'H.2', 'B.5', 'D.2', 'G.1', 'J.7', 'I.2', 'D.4', 'C.5', 'B.7', 'B.4', 'K.4', 'F.3', 'C.5', 'B.7', 'I.6', 'K.3', 'K.3', 'D.2', 'I.3', 'I.2', 'F.1', 'F.3', 'J.5', 'C.5', 'B.7', 'I.6', 'I.3', 'K.6', 'K.6', 'F.4', 'A.0', 'I.2', 'I.4', 'D.2', 'F.1', 'C.1', 'D.3', 'I.3', 'K.8', 'D.3', 'H.5', 'I.4', 'D.2', 'J.2', 'I.2', 'I.4', 'F.1', 'K.4', 'K.5', 'E.2', 'G.1', 'H.5', 'C.5', 'B.7', 'K.3', 'J.7', 'D.2', 'G.1', 'C.5', 'B.7', 'K.3', 'K.3', 'B.5', 'D.2', 'G.1', 'H.5', 'D.3', 'I.2', 'J.7', 'D.2', 'D', 'B.5', 'C.2', 'C.2', 'C.2', 'E.3', 'C.5', 'B.7', 'I.4', 'I.2', 'C.5', 'B.7', 'H.3', 'J.2', 'D.2', 'G.1', 'A.0', 'B.5', 'K.4', 'K.4', 'A.0', 'K.4', 'K.4', 'C.1', 'K.5', 'K.5', 'K.4', 'K.7']"
146,"Sahin, Alphan ","['C.2', 'I.5', 'H.5']"
147,"Santi, Enrico","['F.4', 'H.5', 'H.3', 'D.3', 'B.1', 'B.6', 'B.2', 'B.3', 'B.4', 'B.7', 'B.5', 'E.1', 'F.3', 'J.1', 'D.4', 'D.2', 'B.3', 'K.3', 'K.3', 'D.4', 'D.3', 'B.4', 'H.3', 'H.5', 'B.6', 'H.2', 'H.5', 'G.3', 'J.2', 'G.1', 'B.1', 'D.2', 'D.2', 'G.1', 'B.6', 'H.5', 'J.2', 'J.5', 'J.2', 'F.3', 'I.6', 'J.1', 'D.4', 'B.3', 'D.2', 'H.3', 'H.5', 'G.1', 'E.3', 'H.2', 'D.4', 'I.4', 'H.5', 'I.4', 'I.5', 'C.1', 'D.2', 'I.6', 'D.2', 'D.4', 'K.4', 'K.7', 'J.2', 'I.6', 'D.3', 'G.1', 'J.2', 'D.2', 'B.7', 'F.3', 'I.4', 'D.2', 'I.1', 'K.1', 'C.3', 'I.3', 'D.4', 'K.5', 'K.6', 'J.1', 'G.1', 'I.3', 'I.3', 'K.6', 'I.3', 'H.3', 'H.5', 'J.1', 'D.4', 'D.4', 'D.3', 'H.5', 'J.2', 'J.2', 'J.2', 'D.2', 'K.4', 'K.7', 'J.2', 'I.6', 'K.4', 'B.4', 'I.2', 'I.6', 'C.3', 'I.2', 'D.2']"
148,"Sasanakul, Inthuorn",['I.5']
149,"Schooley, Benjamin","['J.3', 'J.3', 'B.2', 'B.3', 'B.6']"
150,"Shazly, Tarek ","['K.6', 'E.3', 'H.5', 'I.4', 'D.2', 'G.1', 'D.2', 'D.2', 'I.4', 'D.2', 'I.5', 'C.1', 'B.2', 'B.4', 'B.3', 'D.2', 'D.2', 'H.1', 'D.4', 'H.5', 'G.1', 'B.2', 'B.3', 'B.6', 'B.7', 'G.1', 'H.5', 'I.2', 'H.5', 'B.4', 'J.5', 'I.4', 'J.2', 'I.2', 'H.5', 'D.2', 'C.2', 'H.5', 'A.1', 'D', 'F.3', 'G.3', 'J.5', 'G.1', 'F.4', 'D.4', 'I.2', 'G.1', 'C.2', 'D.2', 'I.1', 'I.3', 'I.2', 'D.2', 'I.5', 'D.4', 'D.4', 'D.2', 'G.1', 'J.2', 'F.3', 'F.3', 'K.6', 'D.3', 'B.4', 'D.2', 'F.3', 'D.3', 'B.4', 'G.3', 'I.1', 'K.3', 'K.3', 'J.2', 'F.3', 'F.1', 'I.6', 'H.1', 'A.0', 'B.7', 'G.1', 'F.2', 'E.5', 'I.2', 'K.3', 'K.3', 'D.2', 'D.2', 'J.5', 'C.5', 'G.1', 'I.3', 'D.3', 'I.2', 'D.3', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'E.3', 'C.2', 'I.5', 'I.4', 'E.3', 'H.5', 'K.4', 'F.2', 'G.1', 'H.5', 'G.1', 'C.2', 'C.2', 'D.2', 'J.2', 'J.2', 'G.1', 'K.4', 'F.3', 'H.1', 'I.5', 'C.1', 'B.2', 'B.3', 'B.6', 'K.6', 'K.4', 'K.5', 'I.5', 'D.2', 'J.2', 'D.2', 'D.2', 'H.5', 'I.2', 'I.2', 'I.3', 'C.5', 'D.3', 'G.1', 'C.5', 'B.4', 'I.4', 'J.5', 'G.1', 'E.3', 'B.6', 'F.3', 'H.3', 'I.5', 'I.6', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'E.3', 'D', 'I.3', 'D.4', 'D.4', 'H.2', 'G.1', 'E.5', 'A.1', 'I.4', 'G.3', 'I.2', 'I.4', 'G.3', 'F.3', 'G.1', 'F.4', 'D.3', 'D.2', 'D.3', 'I.4', 'D.2', 'I.1', 'D.3', 'B.4', 'F.2', 'F.3', 'F.4', 'D.3', 'C.2', 'B.7', 'C.1', 'I.4', 'D.3', 'B.4', 'C.2', 'I.5', 'F.2', 'G.3', 'J.2', 'D.2', 'B.2', 'B.4', 'B.3', 'D.3', 'B.4', 'E.2', 'I.6', 'E.3', 'I.3', 'F.4', 'D.2', 'I.4', 'I.1', 'I.3', 'I.6', 'G.1', 'I.5', 'G.2', 'A.1', 'I.4', 'I.6', 'F.3', 'I.4', 'I.3', 'H.5', 'C.2', 'H.2', 'C.0', 'B.2', 'B.4', 'B.3', 'G.1', 'B.2', 'B.4', 'B.3', 'I.2', 'K.3', 'K.3', 'I.5', 'C.1', 'D.2', 'I.3', 'H.5', 'H.1', 'A.1', 'C.4', 'I.3', 'K.8', 'F.4', 'K.6', 'B.7', 'B.4', 'D.2', 'I.3', 'H.5', 'J.5', 'K.4', 'H.2', 'D.3', 'B.4', 'K.4', 'K.4', 'I.6', 'A.0', 'I.4', 'D.2', 'D.4', 'I.3', 'H.5', 'K.4', 'K.5', 'B.1', 'B.5', 'B.7', 'B.6', 'K.4', 'K.4', 'K.6', 'D.3', 'G.1', 'I.3', 'J.7']"
151,"Shepherd, Jeremiah","['B.2', 'B.4', 'B.3', 'D.2', 'I.3', 'D.2', 'I.4', 'I.2']"
152,"Sheth, Amit","['I.2', 'I.2', 'C.3', 'I.2', 'I.2', 'I.2', 'A.0', 'I.2', 'A.0', 'I.2']"
153,"Shimpalee, Sirivatch","['H.3', 'H.5', 'H.3', 'C.2', 'D.4', 'A.0', 'I.4', 'I.2', 'H.2', 'H.3', 'I.3', 'D.4', 'A.0', 'C.1', 'H.5', 'I.2', 'G.1', 'D.2', 'F.4', 'I.2', 'B.4', 'I.2', 'K.6', 'C.2', 'K.6', 'K.6', 'I.2', 'G.1', 'J.2', 'H.2', 'I.4', 'D.2', 'I.4', 'D.2', 'I.4', 'I.2', 'G.3', 'C.1', 'I.4', 'J.2', 'J.5', 'I.6', 'G.3', 'I.2', 'F.3', 'C.2']"
154,"Simin, Grigory","['H.2', 'D.4', 'B.6', 'B.6']"
155,"Smoak, Wilson","['J.2', 'B.4', 'C.0', 'H.5', 'J.2', 'I.2', 'D.4', 'B.1', 'B.5', 'B.7', 'B.6', 'H.5', 'C.1', 'I.4', 'G.1', 'J.2', 'J.2', 'B.1', 'B.5', 'B.7', 'B.6', 'D.4', 'I.2', 'H.2', 'H.3']"
156,"Sockalingam, Subramani ","['F.4', 'G.1', 'E.2', 'G.3', 'G.1', 'G.1']"
157,"Spinale, Frank G.","['D.4', 'G.1', 'I.3', 'H.2', 'F.2', 'D.3', 'I.3', 'K.6', 'I.2', 'E.3', 'I.3', 'I.4', 'K.5', 'K.3', 'A.0', 'D.2', 'I.2', 'J.1', 'A.0', 'C.2', 'B.7', 'K.6', 'H.3', 'K.5', 'I.2', 'H.5', 'K.6', 'I.2', 'H.5', 'K.6', 'K.6', 'F.2', 'K.6', 'H.3', 'D.2', 'J.2', 'G.3', 'K.6', 'J.6', 'J.2', 'G.3', 'C.2', 'C.2', 'K.7', 'D.4', 'D.3', 'H.3', 'I.1', 'I.5', 'E.1', 'G.2', 'C.2', 'D.2', 'C.5', 'B.7', 'I.2', 'J.5', 'H.5', 'H.2', 'J.7', 'I.2', 'K.6', 'D.2', 'C.5', 'D.3', 'D.4', 'C.5', 'K.5', 'I.1', 'I.5', 'E.3', 'J.1', 'F.3', 'I.4', 'I.3', 'I.3', 'J.1', 'F.4', 'D.3', 'C.2', 'C.2', 'F.2', 'K.6', 'H.5', 'D.3', 'I.2', 'C.5', 'F.3', 'D.3', 'I.2', 'D.3', 'F.1', 'I.1', 'I.5', 'C.5', 'B.7', 'C.2', 'H.5', 'K.8', 'H.5', 'I.4', 'D.2', 'C.2', 'H.1', 'K.5', 'H.5', 'D.2', 'D.2', 'C.2', 'C.5', 'B.2', 'B.4', 'B.3', 'G.3', 'J.3', 'I.4', 'J.3', 'C.5', 'J.6', 'H.4', 'H.1', 'D.3', 'D.2', 'C.2', 'C.3', 'G.1', 'F.3', 'I.2', 'K.6', 'B.3', 'G.1', 'I.2', 'F.4', 'D.3', 'D.2', 'D.4', 'F.4']"
158,"Srivastava, Biplav","['C.5', 'D.2', 'C.3', 'J.3', 'C.0', 'I.2', 'C.3']"
159,"Stanford, Thomas G.","['J.2', 'H.2', 'C.5', 'B.7', 'D.4', 'C.2', 'J.2', 'F.4']"
160,"Stiffler, Nick",['I.2']
161,"Sudarshan, Tangali S.","['H.2', 'D.4', 'H.2', 'B.6', 'B.6', 'H.2']"
162,"Summers, Bill ","['H.3', 'H.5', 'I.2', 'H.3', 'K.6', 'H.2', 'C.2', 'G.1', 'K.5', 'I.3', 'G.2', 'E.3', 'B.2', 'B.4', 'B.3', 'D.4', 'G.2', 'F.4', 'F.1', 'D.2', 'K.6', 'K.5', 'I.5', 'C.1', 'C.1', 'I.4', 'I.1', 'I.1', 'E.3', 'I.1', 'I.5', 'D.2', 'D.2', 'H.5', 'I.4', 'D.2', 'G.1', 'J.1', 'F.4', 'G.2', 'J.2', 'G.2', 'B.3', 'G.1', 'I.3', 'G.1', 'C.1', 'C.1', 'H.5', 'H.2', 'F.4', 'I.4', 'I.2', 'E.3', 'K.4', 'K.4', 'I.2', 'I.2', 'G.2', 'I.2', 'H.5', 'D.3', 'H.5', 'I.1', 'I.5', 'C.0', 'I.2', 'K.6', 'K.6', 'I.4', 'B.6', 'G.2', 'F.3', 'G.1', 'F.3', 'I.4', 'C.2', 'B.6', 'H.5', 'C.5', 'I.2', 'I.2', 'B.7', 'G.1', 'E.5', 'K.4', 'G.3', 'F.3', 'G.3', 'B.2', 'B.4', 'B.3', 'I.1', 'I.5', 'D.2', 'B.2', 'B.4', 'B.3', 'K.6', 'E.3', 'D.2', 'D.2', 'I.2', 'J.1', 'C.5', 'F.4', 'J.3', 'D.2', 'I.4', 'D.2', 'D.2', 'H.5', 'I.3', 'B.7', 'B.6', 'J.2', 'F.4', 'G.3', 'B.5', 'G.1', 'C.2', 'I.2', 'D.3', 'F.3', 'I.4', 'G.1', 'D.4', 'B.4', 'I.4', 'D.2', 'D.4', 'C.2', 'C.0', 'H.5', 'C.2', 'H.5', 'B.4', 'B.5', 'B.2', 'B.4', 'B.3', 'G.1', 'D.2', 'D.2', 'G.1', 'G.3', 'F.4', 'G.1', 'D.2', 'H.5', 'D.4', 'D.4', 'H.3', 'B.4', 'H.5', 'I.4', 'I.2', 'F.4', 'B.2', 'B.4', 'B.3', 'I.2', 'G.2', 'I.4', 'K.7', 'K.6', 'K.6', 'G.1', 'G.3', 'E.3', 'B.4', 'I.3', 'I.4', 'I.5', 'C.1', 'I.2', 'H.5', 'I.3', 'C.0', 'K.6', 'D.2', 'G.2', 'D.4', 'D.4', 'G.1', 'C.5', 'H.5', 'D.2', 'J.7', 'I.2', 'H.4', 'F.4', 'K.6', 'D.4', 'K.6', 'H.3', 'B.7', 'G.2', 'D.2', 'F.4', 'D.2', 'D.4', 'K.6', 'C.5', 'I.3', 'C.2', 'I.1', 'I.5', 'J.7', 'D.4', 'D.4', 'D.2', 'H.5', 'J.3', 'K.6', 'H.3', 'H.5', 'G.1', 'H.3', 'F.3', 'G.3', 'D.4', 'K.6']"
163,"Sur, Sanjib ","['D.4', 'C.1', 'C.2', 'J.7', 'J.1']"
164,"Sutton, Michael","['G.1', 'E.3', 'E.3', 'I.3', 'K.8', 'A.0', 'G.3', 'A.0', 'H.1', 'I.3', 'K.8', 'G.1', 'H.3', 'G.1', 'G.1', 'B.3', 'G.1', 'H.3', 'I.4', 'I.5', 'C.1', 'H.2', 'I.3', 'I.2', 'G.1', 'G.1', 'D.3', 'G.1', 'I.3']"
165,"Taheri-Qazvini, Nader ","['A.2', 'G.1', 'D', 'D.3', 'C.1', 'C.1']"
166,"Tan, Wenbin",['H.1']
167,"Tang, Chuanbing","['D.3', 'A.0']"
168,"Tang, Jijun","['K.8', 'K.8', 'I.2', 'F.4', 'I.1', 'I.5']"
169,"Thatcher, Matt E. ","['I.4', 'K.6', 'J.4', 'D.2', 'H.5', 'I.4', 'D.2', 'K.5', 'D.3', 'K.4', 'H.3', 'H.1', 'K.6', 'K.4', 'I.5', 'I.2', 'H.4', 'K.6', 'B.2', 'B.4', 'B.3', 'H.5', 'K.6']"
170,"Tong, Yan","['K.7', 'K.4', 'I.2', 'I.5', 'E.1', 'K.4', 'H.5', 'K.1', 'I.5', 'H.5', 'D.2', 'K.7', 'G.3']"
171,"Tooren, Michel  van","['I.2', 'C.2', 'C.2', 'B.1', 'B.5', 'B.7', 'B.6', 'I.2', 'D.2', 'K.6', 'H.1', 'C.2', 'F.1', 'F.1', 'E.2', 'C.2', 'C.2', 'E.3', 'E.2', 'D.4', 'D.4', 'J.2', 'E.3', 'K.6', 'B.4', 'C.2', 'C.2']"
172,"Uline, Mark J.","['D', 'H.3', 'G.1', 'D.2', 'A.0']"
173,"Valafar, Homayoun","['D.2', 'A.0', 'I.5', 'C.1', 'I.2', 'I.2', 'F.4', 'I.5', 'C.1']"
174,"Valtorta, Marco",['I.2']
175,"Van Brunt, Vincent","['B.2', 'B.4', 'B.3', 'I.2', 'D.3', 'J.2']"
176,"Vargas, Juan","['H.2', 'K.7', 'B.7', 'E.3', 'K.3', 'J.2', 'H.1', 'E.3']"
177,"Vidal, Jose M. ","['C.2', 'C.2', 'I.2', 'I.2', 'H.3', 'D.4', 'C.2']"
178,"Viparelli, Enrica","['D.3', 'C.0', 'B.3', 'I.6', 'C.0', 'K.4', 'I.4', 'D.3']"
179,"Vitzilaios, Nikolaos (Nikos)","['I.2', 'F.3', 'C.2', 'C.2', 'K.6', 'I.2', 'I.2', 'D.3', 'I.2', 'K.4', 'H.5', 'I.2', 'I.2', 'J.5', 'I.2', 'I.2', 'D.4', 'E.3', 'C.2', 'E.5', 'I.2', 'I.2', 'C.1', 'E.3', 'C.4', 'H.5']"
180,"Vogt, Thomas","['J.2', 'G.1', 'J.2']"
181,"Wang, Guiren","['C.5', 'F.1', 'I.2', 'J.1', 'C.5', 'B.7', 'J.6']"
182,"Wang, Guoan","['H.2', 'D.4', 'B.6', 'B.6']"
183,"Wang, Song","['I.4', 'I.5', 'I.2']"
184,"Wang, Xiaofeng","['H.2', 'D.4', 'B.6', 'B.6']"
185,"Wang, Yi","['G.1', 'G.1', 'D.4', 'H.3', 'J.2', 'K.6', 'H.2', 'G.3', 'I.2', 'C.2', 'C.2', 'C.2', 'I.4', 'B.7', 'D.2', 'D.4', 'I.2', 'J.1', 'I.2', 'G.3', 'K.6', 'I.4', 'I.4', 'D.2', 'I.6', 'E.3', 'H.3', 'I.5', 'G.1', 'G.3', 'C.3', 'H.2', 'D.2', 'F.4', 'J.1', 'I.3', 'K.5', 'I.4', 'C.5', 'B.7', 'J.6', 'I.2', 'D.4', 'I.4', 'D.2', 'C.2', 'C.2', 'G.1', 'J.2', 'J.7', 'J.7', 'D.2', 'J.6', 'C.2', 'G.3', 'H.3', 'K.3', 'B.7', 'I.4', 'D.2', 'D.2', 'H.2', 'C.1', 'H.5', 'D.2', 'G.1', 'I.2', 'J.1', 'H.3', 'I.2', 'J.1', 'E.5', 'K.5', 'G.1', 'D.3', 'K.6', 'I.2', 'J.2', 'J.1', 'F.4', 'D.3', 'B.3', 'C.2', 'I.2', 'J.1', 'I.3', 'K', 'I.2', 'G.3', 'K.8', 'C.1', 'D.2', 'I.6', 'D.2', 'I.1', 'I.1', 'B.4', 'C.1', 'K.8', 'H.5', 'D.2', 'G.3', 'H.5', 'F.1', 'I.3', 'B.5', 'B.6', 'I.1', 'I.5', 'F.4', 'D.4', 'F.4', 'D.3', 'H.5', 'I.1', 'H.3', 'K.8', 'H.5', 'J.2', 'B.4', 'I.5', 'G.3', 'B.5', 'I.2', 'I.3', 'I.6', 'F.1', 'H.2', 'F.3', 'J.2', 'E.3', 'G.3', 'E.5', 'B.6', 'C.2', 'K.4', 'G.1', 'K.3', 'I.3', 'K.8', 'G.1', 'C.1']"
186,"Wei, Xiaojun","['D.3', 'A.0', 'A.0', 'H.5']"
187,"Wells, James R.","['K.5', 'F.3', 'G.2', 'I.2', 'G.1', 'H.2', 'D.2', 'I.2', 'H.2', 'C.2', 'C.2', 'A.0', 'F.3', 'I.2', 'J.3', 'J.3', 'C.2', 'C.2', 'J.3', 'D.2', 'A.0', 'F.1', 'H.0', 'I.0', 'B.6', 'F.3', 'D.1', 'A.0', 'C.1', 'B.2', 'I.6', 'H.3', 'K.3', 'D.4', 'B.3', 'I.3', 'B.5', 'I.4', 'B.7', 'C.2', 'B.1', 'G.2', 'K.7', 'G.0', 'I.5', 'D.3', 'H.4', 'K.6', 'K.5', 'F.0', 'B.4', 'F.4', 'I.7', 'C.0', 'F.2', 'B.0', 'I.1', 'H.1', 'E.0', 'D.2', 'H.5', 'C.5', 'K.4', 'J.0', 'H.2', 'G.1', 'K.0', 'K.8', 'D.0', 'I.2', 'G.1', 'G.2', 'H.3', 'D.2', 'C.2', 'D.2', 'C.2', 'I.4', 'H.3', 'J.3', 'B.6', 'C.2', 'C.2', 'I.5', 'C.1', 'J.7', 'C.2', 'C.2', 'I.5', 'C.1', 'J.1', 'D.2', 'J.6', 'I.1', 'E.3', 'K.8', 'I.1', 'H.5', 'C.2', 'C.2', 'G.2', 'I.5', 'F.1', 'H.2', 'K.4', 'F.3', 'F.3', 'I.2', 'F.3', 'J.3', 'G.1', 'J.3', 'I.1', 'H.3', 'J.6', 'J.1', 'I.5', 'D.4', 'D.3', 'F.1']"
188,"White, Ralph E.","['J.6', 'J.6', 'E.3', 'H.4']"
